,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
0,INC2007-097,Release of Substance,01/02/2008,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,
1,INC2008-001,Release of Substance,01/02/2008,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,8.0
2,INC2008-004,Release of Substance,01/23/2008,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,100.0
3,INC2008-008,Release of Substance,01/29/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
4,INC2008-009,"Release of Substance, Adverse Environmental Effects",01/29/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Potassium Hydroxide (caustic solution),
5,INC2008-016,Release of Substance,02/23/2008,Alberta,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,
6,INC2008-018,Release of Substance,02/25/2008,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,100.0
7,INC2008-020,Release of Substance,03/03/2008,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
8,INC2008-021,Release of Substance,03/03/2008,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,18.0
9,INC2008-027,Release of Substance,03/14/2008,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
10,INC2008-030,Fatality,03/24/2008,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
11,INC2008-034,Release of Substance,04/01/2008,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
12,INC2008-037,Release of Substance,04/18/2008,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
13,INC2008-039,Release of Substance,04/21/2008,Saskatchewan,"Plains Marketing Canada, L.P.",Crude Oil - Sweet,4.0
14,INC2008-040,Release of Substance,04/25/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
15,INC2008-041,Release of Substance,04/25/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
16,INC2008-043,Fire,05/01/2008,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
17,INC2008-045,Release of Substance,05/06/2008,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,9.4
18,INC2008-048,Release of Substance,05/12/2008,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,7.0
19,INC2008-052,Fire,05/21/2008,Manitoba,TransCanada PipeLines Limited,Not Applicable,
20,INC2008-055,Adverse Environmental Effects,05/31/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
21,INC2008-056,Release of Substance,06/05/2008,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,8.0
22,INC2008-057,Release of Substance,06/06/2008,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,270.0
23,INC2008-058,Adverse Environmental Effects,06/09/2008,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Not Applicable,
24,INC2008-060,Release of Substance,06/12/2008,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
25,INC2008-062,Fire,06/24/2008,British Columbia,TransCanada PipeLines Limited,Not Applicable,
26,INC2008-063,Fatality,06/25/2008,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
27,INC2008-067,Release of Substance,07/06/2008,Alberta,Enbridge Pipelines Inc.,Crude Oil - Synthetic,40.0
